country_id,latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,frp,daynight
UKR,48.85147,35.3208,0.4,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,5.94,D
UKR,48.85468,35.32319,0.4,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,2.65,D
UKR,48.9731,38.15126,0.48,0.4,2023-07-25,1034,N,VIIRS,l,2.0NRT,2.62,D
UKR,48.97434,38.15064,0.48,0.4,2023-07-25,1034,N,VIIRS,n,2.0NRT,5.63,D
UKR,49.00679,38.13587,0.48,0.4,2023-07-25,1034,N,VIIRS,n,2.0NRT,2.77,D
UKR,49.01944,31.04919,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,2.21,D
UKR,49.02115,38.20029,0.48,0.4,2023-07-25,1034,N,VIIRS,n,2.0NRT,7.43,D
UKR,49.28592,32.3446,0.38,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,2.5,D
UKR,49.28674,32.34982,0.38,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,2.5,D
UKR,49.37819,37.84211,0.47,0.4,2023-07-25,1034,N,VIIRS,n,2.0NRT,8.3,D
UKR,49.69543,30.72509,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,1.38,D
UKR,50.28661,33.88168,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,3.07,D
UKR,50.06551,31.05799,0.39,0.36,2023-07-25,1036,N,VIIRS,n,2.0NRT,2.45,D
UKR,50.3689,33.46155,0.39,0.36,2023-07-25,1036,N,VIIRS,n,2.0NRT,1.98,D
UKR,47.50837,33.85733,0.44,0.63,2023-07-25,2248,N,VIIRS,n,2.0NRT,1.98,N
UKR,47.51268,33.86331,0.44,0.63,2023-07-25,2248,N,VIIRS,n,2.0NRT,4.21,N
UKR,47.51408,33.86378,0.44,0.62,2023-07-25,2248,N,VIIRS,n,2.0NRT,1.3,N
UKR,47.51993,33.86412,0.44,0.62,2023-07-25,2248,N,VIIRS,n,2.0NRT,1.3,N
UKR,47.65706,36.07386,0.35,0.57,2023-07-25,2248,N,VIIRS,n,2.0NRT,1,N
UKR,47.65835,36.07287,0.35,0.57,2023-07-25,2248,N,VIIRS,n,2.0NRT,0.69,N
UKR,47.68122,36.13366,0.35,0.56,2023-07-25,2248,N,VIIRS,n,2.0NRT,0.46,N
UKR,47.8351,38.47393,0.54,0.51,2023-07-25,2248,N,VIIRS,n,2.0NRT,1.11,N
