id_w_time,LATITUDE,LONGITUDE,id,x,y,year,time_of_year,ACQ_TIME,date,fire,pop_density,city,in_urban_area,pop_exact,excess_fire,predicted_fire,fire_in_window,war_fire,sustained_excess,id_big,length_of_war_fire_area,war_fire_restrictive
24.7-49-149-2023,48.97786,24.71087,24.7-49,24.700000000000003,49,2023,149,2358,2023-05-29,1,280.86313138405484,NA,TRUE,843.08856201171875,2,1,5,1,1,25-49,94,1
24.7-49-149-2023,48.97613,24.70907,24.7-49,24.700000000000003,49,2023,149,18,2023-05-29,1,280.86313138405484,NA,TRUE,843.08856201171875,2,1,5,1,1,25-49,94,0
24.7-49-149-2023,48.97537,24.7095,24.7-49,24.700000000000003,49,2023,149,2305,2023-05-29,1,280.86313138405484,NA,TRUE,843.08856201171875,2,1,5,1,1,25-49,94,0
24.7-49-149-2023,48.97701,24.71136,24.7-49,24.700000000000003,49,2023,149,105,2023-05-29,1,280.86313138405484,NA,TRUE,843.08856201171875,2,1,5,1,1,25-49,94,0
24.7-49-149-2023,48.97383,24.71005,24.7-49,24.700000000000003,49,2023,149,2358,2023-05-29,1,280.86313138405484,NA,TRUE,524.22601318359375,2,1,5,1,1,25-49,94,1
24.7-49-150-2023,48.97602,24.71184,24.7-49,24.700000000000003,49,2023,150,2339,2023-05-30,1,280.86313138405484,NA,TRUE,843.08856201171875,0,2,2,1,1,25-49,94,0
24.7-49-150-2023,48.97584,24.71415,24.7-49,24.700000000000003,49,2023,150,48,2023-05-30,1,280.86313138405484,NA,TRUE,843.08856201171875,0,2,2,1,1,25-49,94,0
24.7-49-151-2023,48.97425,24.71195,24.7-49,24.700000000000003,49,2023,151,28,2023-05-31,1,280.86313138405484,NA,TRUE,524.22601318359375,2,2,6,1,1,25-49,94,1
24.7-49-151-2023,48.97685,24.71252,24.7-49,24.700000000000003,49,2023,151,1106,2023-05-31,1,280.86313138405484,NA,TRUE,843.08856201171875,2,2,6,1,1,25-49,94,0
24.7-49-151-2023,48.97374,24.71386,24.7-49,24.700000000000003,49,2023,151,1155,2023-05-31,1,280.86313138405484,NA,TRUE,524.22601318359375,2,2,6,1,1,25-49,94,0
24.7-49-151-2023,48.97749,24.71316,24.7-49,24.700000000000003,49,2023,151,28,2023-05-31,1,280.86313138405484,NA,TRUE,843.08856201171875,2,2,6,1,1,25-49,94,0
24.7-49-151-2023,48.97845,24.70646,24.7-49,24.700000000000003,49,2023,151,2320,2023-05-31,1,280.86313138405484,NA,TRUE,571.40521240234375,2,2,6,1,1,25-49,94,0
24.7-49-151-2023,48.97709,24.70639,24.7-49,24.700000000000003,49,2023,151,120,2023-05-31,1,280.86313138405484,NA,TRUE,571.40521240234375,2,2,6,1,1,25-49,94,1
24.7-49-152-2023,48.97713,24.70889,24.7-49,24.700000000000003,49,2023,152,102,2023-06-01,1,280.86313138405484,NA,TRUE,843.08856201171875,0,1,3,1,1,25-49,94,0
24.7-49-152-2023,48.97827,24.70913,24.7-49,24.700000000000003,49,2023,152,9,2023-06-01,1,280.86313138405484,NA,TRUE,843.08856201171875,0,1,3,1,1,25-49,94,0
24.7-49-152-2023,48.97473,24.70816,24.7-49,24.700000000000003,49,2023,152,9,2023-06-01,1,280.86313138405484,NA,TRUE,843.08856201171875,0,1,3,1,1,25-49,94,0
24.7-49-153-2023,48.97512,24.71279,24.7-49,24.700000000000003,49,2023,153,132,2023-06-02,1,280.86313138405484,NA,TRUE,843.08856201171875,0,1,2,1,1,25-49,94,0
24.7-49-153-2023,48.97808,24.71405,24.7-49,24.700000000000003,49,2023,153,132,2023-06-02,1,280.86313138405484,NA,TRUE,843.08856201171875,0,1,2,1,1,25-49,94,0
24.7-49-155-2023,48.97371,24.71228,24.7-49,24.700000000000003,49,2023,155,3,2023-06-04,1,280.86313138405484,NA,TRUE,524.22601318359375,1,1,4,1,1,25-49,94,0
24.7-49-155-2023,48.97416,24.71121,24.7-49,24.700000000000003,49,2023,155,2346,2023-06-04,1,280.86313138405484,NA,TRUE,524.22601318359375,1,1,4,1,1,25-49,94,0
24.7-49-155-2023,48.97585,24.71083,24.7-49,24.700000000000003,49,2023,155,54,2023-06-04,1,280.86313138405484,NA,TRUE,843.08856201171875,1,1,4,1,1,25-49,94,0
